iter	Passed	Remaining
0	125	125463
1	132	66219
2	141	46900
3	146	36418
4	151	30164
5	156	25985
6	160	22752
7	163	20310
8	170	18728
9	174	17256
10	177	16000
11	181	14956
12	187	14200
13	190	13435
14	194	12801
15	199	12241
16	204	11809
17	207	11340
18	211	10923
19	216	10608
20	221	10303
21	224	10002
22	228	9713
23	234	9524
24	238	9292
25	241	9057
26	245	8851
27	251	8743
28	257	8607
29	260	8433
30	265	8306
31	270	8173
32	273	8024
33	278	7912
34	285	7865
35	290	7772
36	295	7687
37	302	7654
38	307	7582
39	313	7522
40	319	7472
41	324	7398
42	330	7355
43	335	7298
44	340	7227
45	374	7761
46	383	7773
47	390	7745
48	398	7726
49	404	7679
50	409	7612
51	415	7566
52	418	7483
53	422	7400
54	427	7345
55	432	7287
56	436	7217
57	440	7148
58	446	7115
59	450	7052
60	453	6984
61	457	6920
62	463	6887
63	468	6846
64	471	6785
65	476	6745
66	481	6703
67	485	6648
68	488	6597
69	495	6579
70	499	6531
71	503	6483
72	507	6439
73	512	6415
74	516	6374
75	520	6332
76	526	6305
77	530	6264
78	533	6221
79	537	6179
80	543	6169
81	547	6134
82	551	6092
83	555	6055
84	562	6051
85	565	6015
86	569	5977
87	576	5971
88	580	5938
89	583	5901
90	587	5870
91	593	5854
92	596	5819
93	600	5787
94	605	5766
95	610	5745
96	613	5714
97	617	5683
98	622	5665
99	627	5645
100	630	5614
101	634	5584
102	640	5573
103	644	5552
104	648	5525
105	652	5499
106	658	5493
107	662	5473
108	666	5447
109	671	5432
110	677	5427
111	682	5407
112	686	5391
113	690	5366
114	693	5340
115	697	5316
116	702	5298
117	707	5285
118	710	5262
119	714	5238
120	719	5229
121	724	5212
122	727	5189
123	731	5170
124	738	5168
125	743	5155
126	746	5134
127	751	5120
128	756	5105
129	759	5085
130	763	5065
131	768	5054
132	774	5046
133	778	5029
134	783	5022
135	788	5011
136	792	4991
137	796	4972
138	801	4965
139	805	4950
140	809	4932
141	813	4915
142	819	4908
143	823	4892
144	826	4873
145	830	4858
146	836	4851
147	839	4834
148	843	4818
149	848	4809
150	853	4799
151	857	4785
152	861	4768
153	867	4766
154	871	4751
155	875	4734
156	879	4720
157	885	4717
158	889	4704
159	893	4689
160	899	4685
161	903	4672
162	906	4655
163	910	4639
164	916	4636
165	920	4625
166	924	4611
167	929	4601
168	934	4594
169	938	4579
170	941	4564
171	946	4556
172	951	4546
173	955	4533
174	958	4519
175	963	4512
176	968	4501
177	971	4487
178	975	4472
179	981	4469
180	986	4462
181	989	4449
182	995	4442
183	1000	4436
184	1004	4423
185	1008	4413
186	1014	4409
187	1018	4398
188	1022	4387
189	1029	4387
190	1033	4376
191	1036	4363
192	1040	4350
193	1046	4347
194	1050	4335
195	1053	4322
196	1058	4313
197	1063	4306
198	1067	4295
199	1070	4282
200	1075	4276
201	1080	4268
202	1084	4256
203	1087	4244
204	1093	4241
205	1098	4234
206	1102	4223
207	1106	4213
208	1111	4207
209	1115	4195
210	1118	4183
211	1123	4176
212	1128	4170
213	1132	4158
214	1135	4147
215	1142	4146
216	1146	4136
217	1150	4125
218	1153	4115
219	1160	4113
220	1164	4103
221	1168	4094
222	1175	4096
223	1179	4086
224	1183	4075
225	1187	4065
226	1193	4064
227	1197	4054
228	1200	4043
229	1206	4040
230	1211	4031
231	1214	4020
232	1218	4010
233	1224	4007
234	1229	4000
235	1232	3990
236	1238	3986
237	1243	3980
238	1246	3970
239	1250	3960
240	1256	3956
241	1260	3947
242	1263	3937
243	1267	3928
244	1274	3926
245	1277	3916
246	1281	3905
247	1287	3903
248	1291	3895
249	1295	3885
250	1298	3875
251	1304	3872
252	1309	3867
253	1313	3857
254	1317	3850
255	1324	3849
256	1338	3869
257	1343	3863
258	1348	3858
259	1355	3858
260	1360	3852
261	1366	3850
262	1373	3848
263	1377	3841
264	1383	3836
265	1387	3829
266	1391	3820
267	1395	3810
268	1400	3805
269	1405	3801
270	1409	3792
271	1413	3783
272	1419	3780
273	1423	3770
274	1426	3762
275	1431	3756
276	1436	3749
277	1440	3741
278	1444	3731
279	1449	3726
280	1453	3718
281	1457	3710
282	1460	3700
283	1467	3699
